epoch,accuracy,loss,val_accuracy,val_loss
0,0.33804649114608765,1.6580623388290405,0.32755032181739807,1.8166974782943726
1,0.44175052642822266,1.4438456296920776,0.3303261697292328,1.738554835319519
2,0.49444830417633057,1.3163264989852905,0.44240111112594604,1.4771380424499512
3,0.536693274974823,1.2155213356018066,0.46252602338790894,1.4251232147216797
4,0.571044385433197,1.127564549446106,0.4816100001335144,1.3746517896652222
5,0.6041811108589172,1.0503181219100952,0.4632200002670288,1.481858730316162
6,0.6397033333778381,0.9643054604530334,0.5020818710327148,1.4006117582321167
7,0.6723195910453796,0.8792355060577393,0.4993060231208801,1.4293994903564453
8,0.7118320465087891,0.784353494644165,0.4972241520881653,1.4415619373321533
9,0.7491325736045837,0.6851618885993958,0.5055516958236694,1.4845786094665527
10,0.7849149703979492,0.5905617475509644,0.5010409355163574,1.7160956859588623
11,0.8182685375213623,0.4985886812210083,0.5343511700630188,1.565772294998169
12,0.8510149121284485,0.41465482115745544,0.5451075434684753,1.6737319231033325
13,0.8808553218841553,0.33615827560424805,0.5055516958236694,2.1103298664093018
14,0.8976405262947083,0.2896970212459564,0.5357390642166138,2.031754970550537
15,0.9136884212493896,0.24832524359226227,0.5499653220176697,1.9157090187072754
16,0.9287387132644653,0.20811815559864044,0.5496183037757874,2.1273703575134277
17,0.9353747367858887,0.1870969980955124,0.5405967831611633,2.188377857208252
18,0.9415770173072815,0.1717059314250946,0.5319222807884216,2.1282339096069336
19,0.9461745023727417,0.1563122719526291,0.5343511700630188,2.297941207885742
20,0.9531575441360474,0.13837961852550507,0.5405967831611633,2.280255079269409
21,0.9558466076850891,0.1298590898513794,0.5350450873374939,2.3799633979797363
22,0.9548924565315247,0.13306064903736115,0.5229007601737976,2.3185150623321533
23,0.954285204410553,0.1302758753299713,0.5562109351158142,2.299564838409424
24,0.9640874266624451,0.10756827890872955,0.5374739766120911,2.2860827445983887
25,0.9667765498161316,0.10057510435581207,0.5451075434684753,2.5634818077087402
26,0.9652151465415955,0.10052288323640823,0.5596807599067688,2.3212890625
27,0.9624826312065125,0.10974035412073135,0.5378209352493286,2.522642135620117
28,0.9600971341133118,0.11465451866388321,0.5364330410957336,2.3841400146484375
29,0.9657356142997742,0.09571986645460129,0.5458015203475952,2.5319817066192627
30,0.9717210531234741,0.08365591615438461,0.5402498245239258,2.5043601989746094
31,0.9718511700630188,0.08086542040109634,0.5628036260604858,2.5590672492980957
32,0.9699861407279968,0.08549001812934875,0.5572519302368164,2.3872079849243164
33,0.9731956720352173,0.07543552666902542,0.5381679534912109,2.60402512550354
34,0.9698126316070557,0.08352312445640564,0.5353921055793762,2.5502054691314697
35,0.9744101166725159,0.07771258801221848,0.5409438014030457,2.567317247390747
36,0.974193274974823,0.0770573765039444,0.5693962574005127,2.8406126499176025
37,0.9732824563980103,0.07818985730409622,0.5548230409622192,2.4645421504974365
38,0.9751040935516357,0.06873536854982376,0.5263705849647522,2.689429998397827
39,0.9770125150680542,0.06443376839160919,0.5437196493148804,2.840867519378662
40,0.9779233336448669,0.06444164365530014,0.5305343270301819,2.80837082862854
41,0.9749305844306946,0.07321976125240326,0.5402498245239258,2.8236470222473145
42,0.9784438014030457,0.06520131230354309,0.5482304096221924,2.6816043853759766
43,0.9796582460403442,0.05983947962522507,0.5596807599067688,2.6447744369506836
44,0.9774895906448364,0.06670419126749039,0.5555170178413391,2.7094740867614746
45,0.9806557893753052,0.05433764308691025,0.5232477188110352,2.9457244873046875
46,0.980959415435791,0.055913444608449936,0.5607216954231262,2.7259204387664795
47,0.9755378365516663,0.0690860003232956,0.5392088890075684,2.776780843734741
48,0.9791811108589172,0.05900810286402702,0.5201249122619629,2.9859557151794434
49,0.9812196493148804,0.05302742123603821,0.5392088890075684,2.8660147190093994
